H	K	L	2THETA	D-VALUE	MULT	INTENSITY
1	-1	-1	19.46	4.5623	2	0.0
1	-1	2	22.43	3.9640	2	853.0
1	0	-2	22.43	3.9640	2	853.0
0	1	2	22.43	3.9640	2	853.0
0	1	-4	31.76	2.8170	2	998.9
1	-1	-4	31.76	2.8170	2	998.9
1	0	4	31.76	2.8170	2	998.9
1	1	0	32.09	2.7893	2	1000.0
2	-1	0	32.09	2.7893	2	1000.0
1	-2	0	32.09	2.7893	2	1000.0
1	-1	5	37.38	2.4056	2	0.0
1	1	-3	37.66	2.3883	2	6.2
1	1	3	37.66	2.3883	2	6.2
1	-2	3	37.66	2.3883	2	6.2
2	-1	-3	37.66	2.3883	2	6.2
1	-2	-3	37.66	2.3883	2	6.2
2	-1	3	37.66	2.3883	2	6.2
2	-2	1	37.80	2.3797	2	0.0
0	0	6	38.96	2.3116	2	262.7
2	-2	-2	39.50	2.2811	2	300.9
0	2	-2	39.50	2.2811	2	300.9
2	0	2	39.50	2.2811	2	300.9
2	0	-4	45.78	1.9820	2	424.4
2	-2	4	45.78	1.9820	2	424.4
0	2	4	45.78	1.9820	2	424.4
1	-1	-7	49.74	1.8332	2	0.0
2	-2	-5	50.07	1.8217	2	0.0
3	-2	-1	50.41	1.8104	2	1.5
2	-3	-1	50.41	1.8104	2	1.5
3	-1	1	50.41	1.8104	2	1.5
1	-3	1	50.41	1.8104	2	1.5
2	1	1	50.41	1.8104	2	1.5
1	2	-1	50.41	1.8104	2	1.5
2	-1	-6	51.33	1.7798	2	156.8
1	-2	6	51.33	1.7798	2	156.8
1	1	-6	51.33	1.7798	2	156.8
1	1	6	51.33	1.7798	2	156.8
1	-2	-6	51.33	1.7798	2	156.8
2	-1	6	51.33	1.7798	2	156.8
2	-3	2	51.77	1.7658	2	83.6
2	1	-2	51.77	1.7658	2	83.6
3	-2	2	51.77	1.7658	2	83.6
1	2	2	51.77	1.7658	2	83.6
1	-3	-2	51.77	1.7658	2	83.6
3	-1	-2	51.77	1.7658	2	83.6
1	0	-8	56.38	1.6318	2	153.6
1	-1	8	56.38	1.6318	2	153.6
0	1	8	56.38	1.6318	2	153.6
3	-2	-4	57.00	1.6157	2	180.2
2	-3	-4	57.00	1.6157	2	180.2
1	2	-4	57.00	1.6157	2	180.2
2	1	4	57.00	1.6157	2	180.2
1	-3	4	57.00	1.6157	2	180.2
3	-1	4	57.00	1.6157	2	180.2
3	-3	0	57.20	1.6104	2	196.1
3	0	0	57.20	1.6104	2	196.1
0	3	0	57.20	1.6104	2	196.1
